commit	denoising_s	memory_gb	latent_rmse	status	description
2903ef7	29.57	54.0	0.266919	discard_rmse	Rowwise FP8 high-noise attn ALL 40 blocks: RMSE 0.267 > 0.15
0f2f364	30.07	54.0	0.137254	discard	Rowwise FP8 FFN n=30 high-noise: rowwise overhead cancels extra-5-block savings (slower)
2087108	29.75	54.0	0.145009	keep	Rowwise FP8 high-noise attn n=15: RMSE 0.145 (just under limit), 0.29s faster
0cdda0c	29.80	54.0	0.168519	discard_rmse	Rowwise FP8 high-noise attn n=16: block 25 jumps +0.023 RMSE → over limit
4efbf46	29.67	54.0	0.219073	discard_rmse	Mixed FFN n=30 (25 per-tensor + 5 rowwise) + attn n=15: RMSE 0.219 (FFN+attn compound)
b324a96	29.71	54.0	0.145009	keep	Skip bf16→fp32 upcast in FP8Linear forward: same RMSE, 0.04s faster
f6e7338	30.01	54.0	0.145009	discard	Precompute cos_sin_cache once per step: torch.compile was CSE-ing it already (slower)
4d832b3	29.46	54.0	0.145009	keep	Double warmup pass primes GPU allocator: step-0 overhead 4.19→3.94s, saves 0.25s
7ff4173	29.51	54.0	0.145009	discard	Triple warmup: no further improvement, run-to-run variance (slower than double)
4151097	29.50	54.0	0.145009	discard	sgl_per_token_quant_fp8 in RowWiseFP8: torch.compile already fuses manual quant (no gain)
0dd4bae	29.46	54.0	0.145009	keep	Reverted sgl quant (same as 4d832b3)
0f29b14	28.72	54.0	0.218657	discard_rmse	Pure PyTorch scale_shift: eliminates 161 Triton kernel calls, but torch.compile fuses through FP32LayerNorm eliminating its BF16 cast → RMSE 0.219 > 0.15
f4b045c	29.46	54.0	0.145009	keep	Reverted pure PyTorch scale_shift (same as 0dd4bae)
457fc5d	-	-	crash	crash	max-autotune-no-cudagraphs: InductorError on torch._scaled_mm FP8 GEMMs — inductor can't lower FP8 in max-autotune path
ea2167d	29.46	54.0	0.145009	keep	Reverted max-autotune (same as f4b045c)
ab1bdda	29.40	54.0	0.147818	discard	Cross-attn K=512 switch FA3→matmul: only 0.06s gain (within noise) but RMSE +0.003 — bad trade, reverted
c16b54a	29.46	54.0	0.145009	keep	Reverted cross-attn matmul (same as 0dd4bae)
72f0301	29.45	54.0	0.145009	discard	empty_cache after warmup: no improvement (within noise)
515de74	29.46	54.0	0.145009	keep	Reverted empty_cache (same as c16b54a)
dfae985	25.04	54.0	0.428867	discard_rmse	FA3 FP8 self-attn all 40 blocks × both models: huge speedup but RMSE 0.429 >> 0.15
f63d1ab	29.46	54.0	0.145009	keep	Reverted FA3 FP8 self-attn (same as c16b54a)
238302e	29.42	54.0	0.145009	keep	torch.compile dynamic=False: same RMSE, ~0.04s improvement (within noise)
4b2187d	29.45	54.0	0.150113	discard_rmse	PyTorch RoPE fallback (bypass FlashInfer): FlashInfer uses different numerics, RMSE 0.150 over limit
98aa6b5	29.46	54.0	0.145009	keep	Reverted PyTorch RoPE (same as 238302e)
5c05c06	29.23	54.0	0.184760	discard_rmse	Cross-attn Q/O rowwise FP8 high-model blocks 0-24: 50 large BF16 GEMMs → FP8, but RMSE +0.040 (cross-attn Q is surprisingly sensitive)
9390255	29.46	54.0	0.145009	keep	Reverted cross-attn Q/O FP8 (same as 98aa6b5)
356b7d2	29.47	54.0	0.145009	discard	Fused self-attn Q,K,V → one 3× wider GEMM (25 BF16 blocks): cuBLAS does not gain from wider N at this shape, zero speedup
002c166	29.46	54.0	0.145009	keep	Reverted fused QKV (same as 9390255)
7f9cc7e	29.50	54.0	0.146620	discard	Low-model attn per-tensor→rowwise FP8: rowwise quantization overhead cancels cuBLAS kernel speedup, slightly slower
bcdf0f4	29.46	54.0	0.145009	keep	Reverted low-model rowwise attn (same as 002c166)
82beb13	29.37	54.0	0.222806	discard_rmse	Scale-shift BC=256/warps=16 + cross-attn KV cache: KV cache breaks RMSE (Python attr treated as constant by dynamo, wrong values captured)
a967122	29.46	54.0	0.145009	keep	Reverted KV cache+scale_shift (same as bcdf0f4)
961da81	29.43	54.0	0.145009	keep	scale_shift BLOCK_C=128→256 num_warps=4→16: ~35ms savings (within noise but RMSE correct)
c258fec	29.48	54.0	0.222806	discard_rmse	Cross-attn KV cache via register_buffer (attempt 1/3): torch.compile codegen diverges when to_k/to_v/norm_k removed from graph
58d83b2	29.48	54.0	0.222806	discard_rmse	KV cache: remove conditional branch (attempt 2/3): same bit-identical RMSE 0.222806 — not a storage issue
f25c1c4	29.48	54.0	0.222806	discard_rmse	KV cache: fresh _CachedCrossAttn module with always-tensor buffers (attempt 3/3): same RMSE — inductor codegen changes when cross-attn ops removed from graph regardless of storage mechanism
b4e9e53	29.43	54.0	0.145009	keep	Reverted all 3 KV cache attempts (same as 961da81)
1135b84	29.03	54.0	0.145009	keep	Skip no-op fuse_scale_shift_kernel in self_attn_residual_norm (null shift/scale=0 is identity): eliminates 320 Triton kernel launches, saves 0.40s
4d87d29	29.47	54.0	0.213239	discard_rmse	Replace MulAdd Triton with native PyTorch: inductor fuses through dtype boundary, RMSE 0.213 (Triton kernel was acting as float32 barrier)
a4783a6	29.03	54.0	0.145009	keep	Reverted MulAdd native-PyTorch (same as 1135b84)
2efd528	29.47	54.0	0.208811	discard_rmse	Fused LN+scale/shift kernel: skipped f16 truncation between LN and scale/shift — scale/shift received full f32 precision, not rounded f16, changing numerics
9ee471e	29.27	54.0	0.160374	discard_rmse	Fused LN v2 with f16 truncation: replaced F.layer_norm with custom Triton kernel changes inductor compiled graph, RMSE 0.160 still above limit
2c4552d	29.04	54.0	0.145009	keep	Reverted all fused LN attempts: only unused kernel code remains (same as 1135b84)
222f80e	29.01	54.0	0.145009	keep	Warmup order high→low→low→high: primes allocator for step-0, step-0 overhead eliminated (was 0.028s, now ~0s), marginal 0.02s gain
83d23d2	29.06	54.0	0.154720	discard_rmse	Block 24 self-attn-only rowwise FP8 (not cross-attn): +0.010 RMSE — self-attn at block 24 is also sensitive, 2× RMSE budget
054f8bb	-	-	crash	crash	inductor combo_kernels=True: InductorError NullKernelHandler in codegen_combo_kernel — bug in PyTorch 2.11
ec6a48c	29.23	54.0	0.151041	discard_rmse	inductor use_block_ptr=True: +0.006 RMSE (block pointers change Triton reduction order, fp16 non-associative) AND slower
3adfce0	29.19	54.0	0.145009	discard	torch.profiler diagnostic: FA3 attention=57.84% (16.77s/29s, ~85% H100 peak), cuBLAS GEMMs=30%, Triton non-GEMM=12%
5e71685	28.99	54.0	0.145009	keep	Share RowWiseFP8 quantization across Q,K,V: compute norm_hidden_states rowwise amax+x_fp8 once; saves ~120 quant ops per run (~0.02s)
1548e94	29.45	54.0	0.146187	discard	FP32LayerNorm no-float-cast: float16 LN kernel is slower than float32 LN despite less memory traffic; net +0.46s
c0cf5d3	28.99	54.0	0.145009	keep	Reverted FP32LayerNorm no-float-cast (same as 5e71685)
11e78ed	28.98	54.0	0.145009	keep	Share per-tensor FP8 quant across Q,K,V (low-noise model): within noise of baseline — torch.compile likely already CSE'd global amax
